Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
12/22/1995,7,7,7,7,7,500,2,3500,,,0,0
12/21/1995,7.4,7.4,7.4,7.4,7.4,50,1,370,,,0,0
12/20/1995,7.5,7.5,7.5,7.5,7.5,50,1,375,,,0,0
12/19/1995,8,8.2,8,8.2,8.15,200,2,1630,,,0.2,0.2
12/18/1995,8,8,8,8,8,200,1,1600,,,0,0
12/13/1995,8,8,8,8,8,100,1,800,,,0,0
12/12/1995,7.5,7.5,7.5,7.5,7.5,100,1,750,,,0,0
12/11/1995,8,8,8,8,8,200,1,1600,,,0,0
12/8/1995,7,7,7,7,7,500,3,3500,,,0,0
12/7/1995,5,7,5,5.5,5.5,400,2,2200,,,2,0.5
12/6/1995,7,7,7,7,7,200,1,1400,,,0,0
12/5/1995,7,7,7,7,7,500,1,3500,,,0,0
12/4/1995,7,8,7,7,7.047619048,2100,3,14800,,,1,0
11/28/1995,8,8,8,8,8,100,1,800,,,0,0
11/9/1995,8.5,8.5,8.5,8.5,8.5,200,1,1700,,,0,0
10/13/1995,10,10,10,10,10,700,2,7000,,,0,0
10/12/1995,8.5,10,8.5,10,9.318181818,550,4,5125,,,1.5,1.5
10/9/1995,8.5,8.5,8.5,8.5,8.5,700,1,5950,,,0,0
9/29/1995,8,8,8,8,8,50,1,400,,,0,0
9/25/1995,7.75,7.75,7.5,7.5,7.708333333,600,3,4625,,,0.25,-0.25
9/22/1995,7.75,7.75,7.75,7.75,7.75,200,1,1550,,,0,0
9/21/1995,7.75,7.75,7.75,7.75,7.75,500,1,3875,,,0,0
9/19/1995,7.75,7.75,7.75,7.75,7.75,400,1,3100,,,0,0
9/18/1995,7.75,8,7.75,7.75,7.875,400,2,3150,,,0.25,0
9/14/1995,8,8,8,8,8,100,1,800,,,0,0
9/12/1995,9,9,9,9,9,500,1,4500,,,0,0
9/7/1995,10,10,10,10,10,800,3,8000,,,0,0
9/6/1995,9.25,9.25,9.25,9.25,9.25,500,1,4625,,,0,0
9/5/1995,8.5,9.25,8.5,9.25,9.142857143,700,4,6400,,,0.75,0.75
9/4/1995,8.5,9,8.5,8.5,8.6,500,3,4300,,,0.5,0
8/31/1995,8.75,8.75,8.75,8.75,8.75,100,1,875,,,0,0
8/25/1995,8,10.5,8,10.5,8.416666667,600,3,5050,,,2.5,2.5
8/24/1995,9,9,9,9,9,500,1,4500,,,0,0
8/14/1995,10,10,10,10,10,200,1,2000,,,0,0
8/9/1995,9.75,9.75,9.75,9.75,9.746666667,150,2,1462,,,0,0
7/25/1995,9.75,9.75,9.75,9.75,9.75,100,1,975,,,0,0
6/30/1995,11.5,12.25,11.5,11.5,0,0,0,0,,,0.75,0
6/29/1995,10.25,11.5,10.25,11.5,0,0,0,0,,,1.25,1.25
6/28/1995,11.25,12,11.25,12,0,0,0,0,,,0.75,0.75
6/27/1995,12,12,11,11.25,0,0,0,0,,,1,-0.75
6/26/1995,14,14,13.75,13.75,0,0,0,0,,,0.25,-0.25
6/23/1995,13,14,12.25,14,0,0,0,0,,,1.75,1
6/22/1995,15,15,13,13,0,0,0,0,,,2,-2
6/21/1995,13,15,13,15,0,0,0,0,,,2,2
6/20/1995,10.5,11.5,10.5,11,0,0,0,0,,,1,0.5
6/16/1995,10.5,10.5,10.5,10.5,0,0,0,0,,,0,0
6/15/1995,10.5,10.5,10.5,10.5,0,0,0,0,,,0,0
6/14/1995,11,11,10.5,10.5,0,0,0,0,,,0.5,-0.5
6/13/1995,11,11,10.5,11,0,0,0,0,,,0.5,0
6/12/1995,10.5,10.5,10.5,10.5,0,0,0,0,,,0,0
6/8/1995,10,10.25,10,10.25,0,0,0,0,,,0.25,0.25
6/7/1995,11,11,10,10,0,0,0,0,,,1,-1
6/6/1995,12.75,12.75,10,10,0,0,0,0,,,2.75,-2.75
6/5/1995,15,15,15,15,0,0,0,0,,,0,0
6/2/1995,17.5,18.5,16,16,0,0,0,0,,,2.5,-1.5
6/1/1995,19,19.5,18,18.5,0,0,0,0,,,1.5,-0.5
5/31/1995,17,20,16.5,19,0,0,0,0,,,3.5,2
5/30/1995,15.5,17.5,15,17.5,0,0,0,0,,,2.5,2
