Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
3/5/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/4/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/28/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/27/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/26/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/22/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/21/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/20/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/19/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/15/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/14/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/13/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/11/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/8/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/7/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/6/1991,12.5,17.5,12.5,15,0,0,0,0,,,5,2.5
2/5/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
2/4/1991,12.5,12.5,12.5,12.5,0,0,0,0,,,0,0
2/1/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
1/31/1991,12.5,12.5,12.5,12.5,0,0,0,0,,,0,0
1/25/1991,12,14,12,14,0,0,0,0,,,2,2
1/24/1991,15,15,15,15,0,0,0,0,,,0,0
1/23/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
1/14/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
1/11/1991,12.5,12.5,12,12.5,0,0,0,0,,,0.5,0
1/9/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
1/7/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
1/3/1991,15,15,15,15,0,0,0,0,,,0,0
